BIC;COD;COD2;NOM
CECAESMM43;2043;2043;CAJA DE AHORROS DE MURCIA
CECAESMM45;2045;2045;CAJA DE AHORROS Y MONTE DE PIEDAD DE ONTINYENT
CECAESMM48;2048;2048;CAJA DE AHORROS DE ASTURIAS
CECAESMM51;2051;2051;CAJA DE AHORROS Y MONTE PIEDAD DE BALEARES
CECAESMM52;2052;2052;CAJA INSULAR DE AHORROS DE CANARIAS
CECAESMM56;2056;2056;CAJA DE AHORROS DE POLLENSA
CECAESMM59;2059;2059;CAJA DE AHORROS DE SABADELL
CECAESMM66;2066;2066;CAJA DE AHORROS DE SANTANDER Y CANTABRIA
CAGLESMMVIG;2080;2080;CAJA DE AHORROS MUNICIPAL DE VIGO
CECAESMM81;2081;2081;CAIXA D'ESTALVIS DEL PENEDES
CAZRES2ZXXX;2085;2085;CAJA DE AHORROS Y M. DE P. DE ZARAGOZA, ARAGÓN Y RIOJA
CECAESMM86;2086;2086;CAJA DE AHORROS DE LA INMACULADA DE ARAGÓN
BASKES2BXXX;2095;2095;BILBAO BIZKAIA KUTXA
CSPAES2LXXX;2096;2096;CAJA ESPAÑA DE INVERSIONES, CAJA DE AHORROS Y M. DE P.
CECAESMM99;2099;2099;CAJA DE AHORROS Y MONTE DE PIEDAD DE EXTREMADURA
CAIXESBBXXX;2100;2100;CAJA DE AHORROS Y PENSIONES DE BARCELONA
CGGKES22XXX;2101;2101;CAJA DE AHORROS M. DE P. DE GIPUZKOA Y SAN SEBASTIÁN
UCJAES2MXXX;2103;2103;M. DE P. Y C.A. DE RONDA, CÁDIZ, ALMERÍA, MÁLAGA Y ANTEOUERA
CSSOES2SXXX;2104;2104;CAJA DE AHORROS DE SALAMANCA Y SORIA
CECAESMM15;2105;2105;CAJA CASTILLA-LA MANCHA
BBVAESMM17;2107;2107;UNNIM
BCOEESMM1;3001;3001;CAJA RURAL DE ALMENDRALEJO
BCOEESMM5;3005;3005;CAJA RURAL CENTRAL
BCOEESMM7;3007;3007;CAJA RURAL DE GIJON
BCOEESMM8;3008;3008;CAJA RURAL DE NAVARRA
BCOEESMM9;3009;3009;CAJA RURAL DE EXTREMADURA
BCOEESMM16;3016;3016;CAJA RURAL PROVINCIAL DE SALAMANCA
BCOEESMM17;3017;3017;CAJA RURAL PROVINCIAL DE SORIA
BCOEESMM18;3018;3018;CAJA RURAL SAN AGUSTÍN
